"Path","InRepoA","InRepoB","A_FullPath","B_FullPath","A_LastWrite","B_LastWrite","A_Size","B_Size","A_Hash","B_Hash"
"forensic_suite_v2\config\tracer_v2.yaml","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\config\tracer_v2.yaml","C:\development\forensic_suite_v2\forensic_suite_v2\config\tracer_v2.yaml","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","1077","1077","94A72FEF033AAAA3949BDCF941E3C00D826B3AEBCA56D6EA3AAAB4521A172CF1","94A72FEF033AAAA3949BDCF941E3C00D826B3AEBCA56D6EA3AAAB4521A172CF1"
"forensic_suite_v2\core\__init__.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\core\__init__.py","C:\development\forensic_suite_v2\forensic_suite_v2\core\__init__.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"forensic_suite_v2\core\__pycache__\__init__.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\core\__pycache__\__init__.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\core\__pycache__\__init__.cpython-311.pyc","23/02/2026 7:43:34 PM","23/02/2026 7:43:34 PM","197","197","85A701CDBC96EEE65DB40F66D2EFF989A4FBB1413C2C30EEED42310C3F632C28","85A701CDBC96EEE65DB40F66D2EFF989A4FBB1413C2C30EEED42310C3F632C28"
"forensic_suite_v2\core\__pycache__\engine.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\core\__pycache__\engine.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\core\__pycache__\engine.cpython-311.pyc","23/02/2026 7:43:34 PM","23/02/2026 7:43:34 PM","1848","1848","32F5645099A78878B7B8921E147F0EBBB7E5ADA02CA71BA95FAE261292594783","32F5645099A78878B7B8921E147F0EBBB7E5ADA02CA71BA95FAE261292594783"
"forensic_suite_v2\core\__pycache__\indexer_engine.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\core\__pycache__\indexer_engine.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\core\__pycache__\indexer_engine.cpython-311.pyc","23/02/2026 7:43:34 PM","23/02/2026 7:43:34 PM","9924","9924","6A43E93FE548EAE79B12F3BE77F10B3A547E44BD75F9C069B2E047093CF9686F","6A43E93FE548EAE79B12F3BE77F10B3A547E44BD75F9C069B2E047093CF9686F"
"forensic_suite_v2\core\__pycache__\logging.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\core\__pycache__\logging.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\core\__pycache__\logging.cpython-311.pyc","23/02/2026 7:43:34 PM","23/02/2026 7:43:34 PM","2031","2031","AD2842549DC25F097660B99FA691635FBB35E282AD7CE5308055A88498904D24","AD2842549DC25F097660B99FA691635FBB35E282AD7CE5308055A88498904D24"
"forensic_suite_v2\core\__pycache__\orchestrator.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\core\__pycache__\orchestrator.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\core\__pycache__\orchestrator.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","7050","7050","565142B6D4FFFA65FE0C2CBEADB43448F7CC24998DE540B1C11D3C4CEAB8BA14","565142B6D4FFFA65FE0C2CBEADB43448F7CC24998DE540B1C11D3C4CEAB8BA14"
"forensic_suite_v2\core\__pycache__\plugin_loader.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\core\__pycache__\plugin_loader.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\core\__pycache__\plugin_loader.cpython-311.pyc","23/02/2026 7:43:34 PM","23/02/2026 7:43:34 PM","1459","1459","C37F5C82F7FDE0BC117B1B179E0AD8A0C0DB541B2419ADF1B4097F0BC3F4ED79","C37F5C82F7FDE0BC117B1B179E0AD8A0C0DB541B2419ADF1B4097F0BC3F4ED79"
"forensic_suite_v2\core\__pycache__\schema_validator.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\core\__pycache__\schema_validator.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\core\__pycache__\schema_validator.cpython-311.pyc","23/02/2026 7:43:35 PM","23/02/2026 7:43:35 PM","5463","5463","580D841B1A5AC1F10D11B1012864CCC2530DD4F0668F6E331E218A748C370FF5","580D841B1A5AC1F10D11B1012864CCC2530DD4F0668F6E331E218A748C370FF5"
"forensic_suite_v2\core\__pycache__\trace_engine.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\core\__pycache__\trace_engine.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\core\__pycache__\trace_engine.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","9482","9482","C659BCA0B9089D530938508941076D0FF58C9D39C1240803E40F06C3ECB2BAEF","C659BCA0B9089D530938508941076D0FF58C9D39C1240803E40F06C3ECB2BAEF"
"forensic_suite_v2\core\engine.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\core\engine.py","C:\development\forensic_suite_v2\forensic_suite_v2\core\engine.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","920","920","1B0D0AB73B49806F725ACD5DE98C096EDBBF1F1616307123CFC5F5B8D7AF8820","1B0D0AB73B49806F725ACD5DE98C096EDBBF1F1616307123CFC5F5B8D7AF8820"
"forensic_suite_v2\core\indexer_engine.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\core\indexer_engine.py","C:\development\forensic_suite_v2\forensic_suite_v2\core\indexer_engine.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","6286","6286","36D4FF9443BF32AA0D73C1F272E7464852E362F6B693B86E6908A05B5234BA06","36D4FF9443BF32AA0D73C1F272E7464852E362F6B693B86E6908A05B5234BA06"
"forensic_suite_v2\core\logging.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\core\logging.py","C:\development\forensic_suite_v2\forensic_suite_v2\core\logging.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","890","890","20D3954D8A2DD644C8CA018E7928BADF79C44CF5CA39DEA12510FC922B56B6CD","20D3954D8A2DD644C8CA018E7928BADF79C44CF5CA39DEA12510FC922B56B6CD"
"forensic_suite_v2\core\orchestrator.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\core\orchestrator.py","C:\development\forensic_suite_v2\forensic_suite_v2\core\orchestrator.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","4427","4427","B7BB557CB14948324D12B6EFEEAA795CA3F897A2469212AB74E7424ECCC65262","B7BB557CB14948324D12B6EFEEAA795CA3F897A2469212AB74E7424ECCC65262"
"forensic_suite_v2\core\plugin_loader.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\core\plugin_loader.py","C:\development\forensic_suite_v2\forensic_suite_v2\core\plugin_loader.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","779","779","5BC236D533636DEC06F2F20AC1A2DA368E47B7C5BAF2FD67ED04F3E52677F986","5BC236D533636DEC06F2F20AC1A2DA368E47B7C5BAF2FD67ED04F3E52677F986"
"forensic_suite_v2\core\schema_validator.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\core\schema_validator.py","C:\development\forensic_suite_v2\forensic_suite_v2\core\schema_validator.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","4324","4324","A6A61449DC68C3E94A890F413B7B412D89830F24A3981090621C9C4946A0A59C","A6A61449DC68C3E94A890F413B7B412D89830F24A3981090621C9C4946A0A59C"
"forensic_suite_v2\core\trace_engine.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\core\trace_engine.py","C:\development\forensic_suite_v2\forensic_suite_v2\core\trace_engine.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","6727","6727","4518803E0DB8311E120E1BFCCD112A3CFB5A74A4B67B3B330778880A790E18E7","4518803E0DB8311E120E1BFCCD112A3CFB5A74A4B67B3B330778880A790E18E7"
"forensic_suite_v2\dashboards\__init__.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\dashboards\__init__.py","C:\development\forensic_suite_v2\forensic_suite_v2\dashboards\__init__.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"forensic_suite_v2\dashboards\__pycache__\__init__.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\dashboards\__pycache__\__init__.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\dashboards\__pycache__\__init__.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","203","203","2B3DABA6783AEBBCC83052C29F77F95F7CE152D9DAF6AF71206CAD03923DA064","2B3DABA6783AEBBCC83052C29F77F95F7CE152D9DAF6AF71206CAD03923DA064"
"forensic_suite_v2\dashboards\__pycache__\multi_chain_dashboard.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\dashboards\__pycache__\multi_chain_dashboard.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\dashboards\__pycache__\multi_chain_dashboard.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","8836","8836","65E88EA66E74507D0FFB1B0D8A439D99BCA37C8F23035A77419B650B4AB4F16B","65E88EA66E74507D0FFB1B0D8A439D99BCA37C8F23035A77419B650B4AB4F16B"
"forensic_suite_v2\dashboards\btc_dashboard.ps1","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\dashboards\btc_dashboard.ps1","C:\development\forensic_suite_v2\forensic_suite_v2\dashboards\btc_dashboard.ps1","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","3503","3503","C15F39B9B8B6F3CB2A50C8F2A79A9A591CAA43556810577CD82E311AC393C5C3","C15F39B9B8B6F3CB2A50C8F2A79A9A591CAA43556810577CD82E311AC393C5C3"
"forensic_suite_v2\dashboards\eth_dashboard.ps1","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\dashboards\eth_dashboard.ps1","C:\development\forensic_suite_v2\forensic_suite_v2\dashboards\eth_dashboard.ps1","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","2964","2964","C859C965AA8E2CDEA913EE1A8A6A1A0AD81682F4C131D596A0B6BB0D73A41BEC","C859C965AA8E2CDEA913EE1A8A6A1A0AD81682F4C131D596A0B6BB0D73A41BEC"
"forensic_suite_v2\dashboards\grafana_btc_eth_tron_v2.json","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\dashboards\grafana_btc_eth_tron_v2.json","C:\development\forensic_suite_v2\forensic_suite_v2\dashboards\grafana_btc_eth_tron_v2.json","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","1362","1362","ECEA20E12F4EFF860EC410110549DB6AE8B317EE29D14C7BDEA179B33D194E91","ECEA20E12F4EFF860EC410110549DB6AE8B317EE29D14C7BDEA179B33D194E91"
"forensic_suite_v2\dashboards\grafana_forensic_cockpit_v2.json","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\dashboards\grafana_forensic_cockpit_v2.json","C:\development\forensic_suite_v2\forensic_suite_v2\dashboards\grafana_forensic_cockpit_v2.json","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","12124","12124","30BF94EB80CB1F3C983B010DB483E178C236BF159BC1DB976D7C45CD7C2E7EEF","30BF94EB80CB1F3C983B010DB483E178C236BF159BC1DB976D7C45CD7C2E7EEF"
"forensic_suite_v2\dashboards\multi_chain_dashboard.ps1","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\dashboards\multi_chain_dashboard.ps1","C:\development\forensic_suite_v2\forensic_suite_v2\dashboards\multi_chain_dashboard.ps1","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","1595","1595","50F35A58D1E71A9EA6ED49076717F691FEB300172F465254C649153E032C0550","50F35A58D1E71A9EA6ED49076717F691FEB300172F465254C649153E032C0550"
"forensic_suite_v2\dashboards\multi_chain_dashboard.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\dashboards\multi_chain_dashboard.py","C:\development\forensic_suite_v2\forensic_suite_v2\dashboards\multi_chain_dashboard.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","4972","4972","FF958A7E70583A95B8D04353E5678B8B919B9B25189850ABA1D7E5BDD0526402","FF958A7E70583A95B8D04353E5678B8B919B9B25189850ABA1D7E5BDD0526402"
"forensic_suite_v2\dashboards\tron_dashboard.ps1","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\dashboards\tron_dashboard.ps1","C:\development\forensic_suite_v2\forensic_suite_v2\dashboards\tron_dashboard.ps1","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","2966","2966","D18055D68CA17D3E5B0442F26CF40EF22041F36413CB1F5FF58C5363475E5EBA","D18055D68CA17D3E5B0442F26CF40EF22041F36413CB1F5FF58C5363475E5EBA"
"forensic_suite_v2\eth_indexer\__init__.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\__init__.py","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\__init__.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"forensic_suite_v2\eth_indexer\__pycache__\__init__.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\__pycache__\__init__.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\__pycache__\__init__.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","204","204","B706BFB98328B87CAABACA9429D1B28983F960730BF00F10812FB11E14BB06FA","B706BFB98328B87CAABACA9429D1B28983F960730BF00F10812FB11E14BB06FA"
"forensic_suite_v2\eth_indexer\config\__init__.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\config\__init__.py","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\config\__init__.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"forensic_suite_v2\eth_indexer\config\__pycache__\__init__.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\config\__pycache__\__init__.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\config\__pycache__\__init__.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","211","211","47BEF37A5AF802D877F91C78C3735FC74A8143C554E5CC7908CF9D9ACEC138AA","47BEF37A5AF802D877F91C78C3735FC74A8143C554E5CC7908CF9D9ACEC138AA"
"forensic_suite_v2\eth_indexer\config\indexer.yaml","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\config\indexer.yaml","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\config\indexer.yaml","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","417","417","C830A0932582B43EA25C770E81F57E1623A7722A48C0FE1E788D1F40CEFE1E6B","C830A0932582B43EA25C770E81F57E1623A7722A48C0FE1E788D1F40CEFE1E6B"
"forensic_suite_v2\eth_indexer\dashboard\__init__.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\dashboard\__init__.py","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\dashboard\__init__.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"forensic_suite_v2\eth_indexer\dashboard\__pycache__\__init__.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\dashboard\__pycache__\__init__.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\dashboard\__pycache__\__init__.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","214","214","0986B257F52475245192F4CE0496D0D46380518D283EBBA99ABD28D2FB32471B","0986B257F52475245192F4CE0496D0D46380518D283EBBA99ABD28D2FB32471B"
"forensic_suite_v2\eth_indexer\dashboard\__pycache__\eth_dashboard.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\dashboard\__pycache__\eth_dashboard.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\dashboard\__pycache__\eth_dashboard.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","6386","6386","345063947AC4E002028923C9DDEDD98E2D9AE7126DD30BA0AE3E8667497521D0","345063947AC4E002028923C9DDEDD98E2D9AE7126DD30BA0AE3E8667497521D0"
"forensic_suite_v2\eth_indexer\dashboard\eth_dashboard.ps1","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\dashboard\eth_dashboard.ps1","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\dashboard\eth_dashboard.ps1","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","1234","1234","10883445DCBE79F1E9C788EAD26B206E4E51CD4221DF9A971A6E224288C634D7","10883445DCBE79F1E9C788EAD26B206E4E51CD4221DF9A971A6E224288C634D7"
"forensic_suite_v2\eth_indexer\dashboard\eth_dashboard.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\dashboard\eth_dashboard.py","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\dashboard\eth_dashboard.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","3518","3518","2103270279C6502B23D6FE2709ED0948847451C172D855C3C1DC7D2781A0690F","2103270279C6502B23D6FE2709ED0948847451C172D855C3C1DC7D2781A0690F"
"forensic_suite_v2\eth_indexer\eth_checkpoint.json","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\eth_checkpoint.json","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\eth_checkpoint.json","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","20","20","9F108862ED28E44BEF61EF99AFFF69F04AA8BF8394443B1BAE935AC17FC2C50E","9F108862ED28E44BEF61EF99AFFF69F04AA8BF8394443B1BAE935AC17FC2C50E"
"forensic_suite_v2\eth_indexer\services\__init__.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\services\__init__.py","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\services\__init__.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"forensic_suite_v2\eth_indexer\services\__pycache__\__init__.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\services\__pycache__\__init__.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\services\__pycache__\__init__.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","213","213","5EE35EE8BCFC41DF6399EC89BB586C761A030F527D48F1F688564B1C6CD08C53","5EE35EE8BCFC41DF6399EC89BB586C761A030F527D48F1F688564B1C6CD08C53"
"forensic_suite_v2\eth_indexer\services\__pycache__\block_scanner.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\services\__pycache__\block_scanner.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\services\__pycache__\block_scanner.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","1837","1837","A15D76701540E9E3236949361EDE04C31E1EE9814FB1EFB8F6EAFC968CD4931E","A15D76701540E9E3236949361EDE04C31E1EE9814FB1EFB8F6EAFC968CD4931E"
"forensic_suite_v2\eth_indexer\services\__pycache__\checkpoint.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\services\__pycache__\checkpoint.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\services\__pycache__\checkpoint.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","2187","2187","5996F65004D910790127ADDC083633E4EA7FD18B541A058EFC63809AEC453E67","5996F65004D910790127ADDC083633E4EA7FD18B541A058EFC63809AEC453E67"
"forensic_suite_v2\eth_indexer\services\__pycache__\db_writer.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\services\__pycache__\db_writer.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\services\__pycache__\db_writer.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","1619","1619","432D82424E76C9F584047E54AC49D7F6AB2B907CF291135AD07FA30D7D9827CF","432D82424E76C9F584047E54AC49D7F6AB2B907CF291135AD07FA30D7D9827CF"
"forensic_suite_v2\eth_indexer\services\__pycache__\eth_indexer_service.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\services\__pycache__\eth_indexer_service.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\services\__pycache__\eth_indexer_service.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","2726","2726","FE81EED58FA0414113FC96F609E1F80B13CBDBD6D14EDD65E88C899229D95B22","FE81EED58FA0414113FC96F609E1F80B13CBDBD6D14EDD65E88C899229D95B22"
"forensic_suite_v2\eth_indexer\services\__pycache__\receipt_worker.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\services\__pycache__\receipt_worker.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\services\__pycache__\receipt_worker.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","1102","1102","CDCD1E5DC789254F2EBC92FFC1E6EE901E79AAFE348886A449E214C0D759D0AA","CDCD1E5DC789254F2EBC92FFC1E6EE901E79AAFE348886A449E214C0D759D0AA"
"forensic_suite_v2\eth_indexer\services\__pycache__\reorg_detector.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\services\__pycache__\reorg_detector.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\services\__pycache__\reorg_detector.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","818","818","B7A6049BC846A9672F0F2EDC5ED136C47EF98F7100618A3D145D88E4BEF108E3","B7A6049BC846A9672F0F2EDC5ED136C47EF98F7100618A3D145D88E4BEF108E3"
"forensic_suite_v2\eth_indexer\services\__pycache__\run_eth_indexer_v2.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\services\__pycache__\run_eth_indexer_v2.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\services\__pycache__\run_eth_indexer_v2.cpython-311.pyc","23/02/2026 8:30:56 PM","23/02/2026 8:30:56 PM","3104","3104","70DF28C5238FC230E016FC8F48B8CDF2F0D60FEEAA293F4C95F187EE09F16E5E","70DF28C5238FC230E016FC8F48B8CDF2F0D60FEEAA293F4C95F187EE09F16E5E"
"forensic_suite_v2\eth_indexer\services\block_scanner.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\services\block_scanner.py","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\services\block_scanner.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","479","479","688AAF2C9A98B37A1EBF63E6D8153A37F03014E3A477BA076B3BD8D3948B2FF9","688AAF2C9A98B37A1EBF63E6D8153A37F03014E3A477BA076B3BD8D3948B2FF9"
"forensic_suite_v2\eth_indexer\services\checkpoint.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\services\checkpoint.py","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\services\checkpoint.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","698","698","4FEF655FF2D014EC83B208EBC771D2E02EC42BD1A0AF86DEA630E1F3A754A158","4FEF655FF2D014EC83B208EBC771D2E02EC42BD1A0AF86DEA630E1F3A754A158"
"forensic_suite_v2\eth_indexer\services\db_writer.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\services\db_writer.py","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\services\db_writer.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","524","524","8C93316B6A66046AFC7ACD73F71857D777AA331749B8FD0948E507D6FC1A2271","8C93316B6A66046AFC7ACD73F71857D777AA331749B8FD0948E507D6FC1A2271"
"forensic_suite_v2\eth_indexer\services\eth_indexer_service.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\services\eth_indexer_service.py","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\services\eth_indexer_service.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","977","977","06CC46DE40D03344DD6238347F5E0C9033359719B6F424F89D1371FB221A8DC3","06CC46DE40D03344DD6238347F5E0C9033359719B6F424F89D1371FB221A8DC3"
"forensic_suite_v2\eth_indexer\services\receipt_worker.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\services\receipt_worker.py","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\services\receipt_worker.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","301","301","5F7F32A7AE925F7817335A60B8A37ECA68D0E17FB39016A708BA4756E6B2BEDA","5F7F32A7AE925F7817335A60B8A37ECA68D0E17FB39016A708BA4756E6B2BEDA"
"forensic_suite_v2\eth_indexer\services\reorg_detector.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\eth_indexer\services\reorg_detector.py","C:\development\forensic_suite_v2\forensic_suite_v2\eth_indexer\services\reorg_detector.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","156","156","F13D5A0A2F1BCF2A8105835ADCD16430CB580BEEAFB1A6F7AF74C19B87F1EB97","F13D5A0A2F1BCF2A8105835ADCD16430CB580BEEAFB1A6F7AF74C19B87F1EB97"
